orig,dest,volume
1,10,3
1,100,1
1,101,4
1,102,2
1,103,2
1,108,1
1,109,2
1,11,1
1,111,2
1,114,1
1,115,6
1,117,1
1,118,2
1,119,3
1,12,2
1,120,1
1,121,13
1,122,1
1,123,2
1,124,9
1,126,1
1,127,3
1,128,2
1,129,68
1,13,8
1,131,1
1,137,1
1,141,1
1,142,2
1,15,4
1,17,2
1,19,3
1,2,8
1,20,2
1,21,2
1,22,1
1,23,6
1,24,2
1,25,5
1,26,3
1,28,1
1,3,6
1,31,23
1,33,1
1,37,1
1,4,5
1,41,1
1,42,2
1,43,1
1,44,1
1,46,1
1,47,5
1,48,2
1,49,2
1,5,2
1,50,15
1,51,2
1,52,2
1,53,4
1,54,2
1,55,1
1,56,4
1,57,2
1,58,3
1,59,2
1,60,2
1,63,3
1,64,2
1,65,1
1,67,1
1,68,1
1,69,2
1,7,2
1,72,4
1,74,2
1,75,7
1,76,1
1,77,2
1,78,2
1,79,1
1,8,1
1,80,13
1,81,2
1,82,1
1,83,2
1,85,2
1,86,1
1,88,2
1,89,1
1,9,1
1,91,1
1,92,2
1,93,2
1,94,2
1,95,1
1,99,2
10,1,1
10,101,1
10,102,1
10,103,1
10,105,1
10,111,1
10,115,1
10,116,1
10,120,1
10,121,1
10,122,1
10,124,1
10,128,1
10,129,6
10,13,2
10,131,1
10,17,1
10,2,1
10,23,2
10,24,1
10,25,1
10,3,1
10,31,2
10,4,1
10,41,1
10,42,1
10,43,1
10,44,1
10,5,1
10,50,2
10,53,1
10,54,1
10,63,1
10,64,1
10,67,1
10,7,1
10,72,1
10,75,2
10,76,1
10,77,1
10,80,2
10,81,1
10,88,1
10,93,1
10,94,1
10,98,1
10,99,1
100,10,1
100,101,1
100,103,1
100,111,1
100,115,2
100,118,1
100,121,1
100,122,1
100,124,3
100,128,1
100,129,6
100,13,1
100,133,1
100,140,1
100,142,1
100,15,2
100,17,1
100,18,1
100,19,1
100,2,1
100,22,1
100,23,1
100,25,1
100,31,2
100,33,1
100,34,1
100,4,1
100,41,1
100,47,1
100,48,1
100,49,1
100,50,2
100,52,1
100,53,1
100,55,1
100,58,1
100,72,2
100,75,1
100,77,1
100,78,1
100,8,1
100,80,2
100,82,1
100,88,1
100,91,1
100,93,1
100,99,1
101,1,1
101,10,1
101,100,1
101,103,1
101,105,1
101,107,1
101,109,1
101,110,1
101,115,1
101,116,1
101,117,1
101,119,1
101,12,1
101,120,1
101,121,1
101,122,1
101,123,1
101,124,2
101,125,1
101,126,1
101,127,1
101,128,1
101,129,6
101,13,2
101,137,1
101,139,1
101,15,1
101,17,1
101,19,1
101,2,2
101,21,1
101,23,1
101,26,1
101,31,1
101,4,1
101,43,1
101,47,1
101,48,1
101,5,1
101,50,2
101,52,1
101,53,2
101,56,1
101,58,1
101,64,1
101,75,1
101,77,1
101,80,2
101,81,1
101,89,1
101,90,1
101,93,1
101,94,1
101,99,1
102,101,1
102,103,1
102,115,1
102,118,1
102,12,1
102,123,1
102,124,1
102,127,1
102,128,1
102,129,6
102,13,1
102,15,1
102,2,1
102,20,1
102,25,1
102,28,1
102,3,1
102,31,1
102,42,1
102,47,1
102,5,1
102,50,3
102,53,1
102,58,1
102,63,1
102,65,1
102,69,1
102,72,1
102,74,1
102,75,1
102,77,1
102,78,1
102,79,1
102,8,1
102,80,2
102,81,1
102,82,1
102,83,1
102,85,1
102,95,1
102,99,1
103,1,2
103,10,1
103,100,1
103,101,2
103,102,2
103,105,1
103,106,1
103,109,1
103,11,2
103,115,3
103,116,1
103,117,1
103,119,1
103,12,2
103,121,5
103,123,1
103,124,4
103,125,1
103,127,2
103,128,2
103,129,29
103,13,3
103,131,1
103,137,1
103,140,1
103,141,1
103,15,3
103,17,2
103,18,2
103,19,2
103,2,3
103,20,1
103,21,1
103,23,7
103,24,1
103,25,2
103,26,2
103,28,1
103,29,1
103,3,1
103,31,14
103,33,1
103,4,3
103,41,2
103,45,1
103,46,1
103,47,1
103,48,1
103,49,1
103,5,2
103,50,15
103,51,1
103,52,1
103,53,3
103,56,1
103,58,2
103,59,1
103,62,1
