name, start, end, length
1, 1, 3, 1.28
2, 1, 118, 1.34
3, 3, 118, 0.670
4, 3, 4, 0.539
5, 4, 11, 1.46
6, 5, 118, 0.763
7, 5, 29, 0.514
8, 29, 30, 0.516
9, 30, 31, 0.318
10, 31, 32, 0.361
11, 27, 32, 0.341
12, 27, 30, 0.402
13, 16, 27, 0.520
14, 16, 29, 0.508
15, 55, 56, 0.581
16, 16, 23, 0.553
17, 27, 28, 0.714
18, 23, 28, 0.514
19, 56, 121, 1.01
20, 23, 24, 0.375
21, 24, 25, 0.313
22, 19, 24, 0.648
23, 25, 26, 0.425
24, 19, 26, 0.343
25, 21, 26, 0.570
26, 19, 103, 0.354
27, 18, 103, 0.935
28, 94, 103, 1.82
29, 18, 93, 1.08
30, 93, 94, 1.23
31, 94, 95, 0.854
32, 92, 95, 0.691
33, 92, 102, 0.384
34, 92, 94, 0.564
35, 57, 93, 1.25
36, 57, 92, 1.00
37, 12, 102, 0.758
38, 59, 102, 0.224
39, 59, 61, 0.507
40, 60, 61, 0.495
41, 21, 22, 0.574
42, 21, 55, 0.598
43, 8, 9, 0.278
44, 7, 8, 0.255
45, 9, 10, 0.425
46, 7, 10, 0.347
47, 9, 101, 0.410
48, 101, 122, 0.429
49, 5, 9, 1.51
50, 6, 47, 0.317
51, 58, 63, 0.654
52, 48, 49, 0.127
53, 11, 13, 1.11
54, 47, 56, 0.441
55, 49, 55, 0.639
56, 49, 50, 0.313   
57, 14, 102, 1.01
58, 14, 57, 0.420
59, 14, 58, 0.253
60, 62, 63, 0.456
61, 61, 62, 0.369
62, 58, 89, 0.811
63, 67, 89, 1.27
64, 89, 107, 1.18
65, 67, 106, 0.841
66, 106, 107, 1.11
67, 60, 67, 0.637
68, 59, 63, 0.361
69, 15, 59, 0.747
70, 60, 66, 0.984
71, 67, 68, 1.02
72, 104, 106, 0.995
73, 104, 105, 0.483
74, 68, 135, 0.370
75, 66, 68, 0.546
76, 61, 64, 0.743
77, 12, 91, 0.258
78, 12, 15, 0.307
79, 15, 90, 0.257
80, 52, 91, 0.352
81, 52, 95, 0.534
82, 51, 52, 0.281
83, 91, 139, 0.09 
84, 15, 64, 0.506
85, 90, 136, 0.346
86, 90, 109, 0.232
87, 65, 109, 0.405 
88, 65, 66, 0.356
89, 64, 65, 0.291
90, 48, 53, 0.527
91, 50, 51, 0.386
92, 48, 51, 0.448
93, 47, 48, 0.315
94, 53, 141, 0.274
95, 6, 101, 0.431
96, 6, 20, 0.589
97, 47, 54, 0.726
98, 54, 120, 0.135
99, 20, 54, 0.135
100, 20, 115, 0.198
101, 100, 115, 0.125
102, 67, 107, 1.06
103, 16, 121, 0.20
104, 25, 121, 0.932
105, 66, 111, 0.507
106, 109, 110, 0.505
107, 91, 127, 0.347
108, 17, 53, 0.235
109, 17, 137, 0.139
110, 112, 113, 0.244
111, 110, 112, 0.238
112, 110, 114, 0.336
113, 108, 133, 0.222
114, 88, 108, 0.334
115, 88, 134, 0.447
116, 70, 88, 0.427
117, 10, 122, 0.407
118, 49, 56,0.578
119, 6, 122, 0.347
120, 100, 122, 0.457
121, 7, 11, 0.691
122, 10, 119, 0.503
123, 76, 111, 0.222
124, 70, 76, 0.217
125, 75, 76, 0.573
126, 52, 141, 0.254
127, 127, 141, 0.299
128, 142, 143, 0.314
129, 11, 119, 0.520
130, 11, 117, 0.178
131, 42, 119, 0.19
132, 46, 117, 0.325
133, 42, 117, 0.508
134, 42, 43, 0.312
135, 43, 46, 0.505
136, 41, 115, 0.234
137, 125, 143, 0.189
138, 100, 119, 0.404
139, 100, 125, 0.232
140, 41, 98, 0.07
141, 50, 55, 0.581
142, 17, 123, 0.228
143, 53, 120, 0.221
144, 120, 123, 0.268
145, 33, 113, 0.203
146, 54, 124, 0.273
147, 123, 124, 0.138
148, 96, 123, 0.105
149, 99, 124, 0.138
150, 98, 99, 0.214
151, 20, 99, 0.305
152, 97, 99, 0.06
153, 41, 125, 0.116
154, 98, 125, 0.135
155, 97, 131, 0.135
156, 98, 130, 0.170
157, 34, 40, 0.217
158, 97, 129, 0.103
159, 40, 130, 0.113
160, 129, 130, 0.217
161, 34, 129, 0.117
162, 128, 129, 0.137
163, 96, 126, 0.1
164, 42, 143, 0.209
165, 43, 142, 0.210
166, 126, 132, 0.223
167, 38, 73, 0.574
168, 124, 131, 0.102
169, 128, 131, 0.103
170, 96, 131, 0.137
171, 126, 128, 0.133
172, 33, 34, 0.291
173, 33, 126, 0.122
174, 33, 108, 0.265
175, 113, 132, 0.144
176, 113, 133, 0.244
177, 133, 134, 0.337
178, 110, 133, 0.224
179, 114, 134, 0.226
180, 76, 134, 0.422
181, 40, 142, 0.301
182, 43, 44, 0.312
183, 36, 40, 0.223
184, 36, 39, 0.246
185, 39, 44, 0.270
186, 38, 39, 0.239
187, 44, 45, 0.187
188, 38, 45, 0.271
189, 38, 44, 0.322
190, 45, 116, 0.476
191, 45, 86, 0.631
192, 46, 116, 0.470
193, 86, 116, 0.789
194, 35, 36, 0.21
195, 34, 35, 0.22
196, 36, 37, 0.239
197, 37, 38, 0.242
198, 37, 87, 0.181
199, 87, 88, 0.509
200, 70, 73, 0.507
201, 73, 87, 0.329
202, 73, 86, 0.587
203, 85, 86, 0.352
204, 73, 80, 0.388
205, 78, 105, 0.975
206, 77, 104, 0.969
207, 74, 83, 0.324
208, 71, 74, 0.419
209, 68, 72, 0.333
210, 72, 75, 0.401
211, 69, 75, 0.211
212, 71, 72, 0.388
213, 74, 75, 0.395
214, 71, 135, 0.217
