name,start,end,length,free_flow_speed
1,1,3,2060.0,16.67
2,1,118,2156.5,16.67
3,3,118,1078.3,16.67
4,2,121,875.5,16.67
5,3,11,2993.4,16.67
6,5,118,1227.9,16.67
7,5,29,827.2,16.67
8,29,30,830.4,16.67
9,30,31,511.8,16.67
10,31,32,581.0,16.67
11,27,32,548.8,16.67
12,27,30,647.0,16.67
13,16,27,836.9,16.67
14,16,29,817.5,16.67
15,55,56,935.0,16.67
16,16,23,890.0,16.67
17,27,28,1149.1,16.67
18,23,28,827.2,16.67
19,56,121,1625.4,16.67
20,23,24,603.5,16.67
21,24,25,503.7,16.67
22,19,24,1042.9,16.67
23,25,26,684.0,16.67
24,19,26,552.0,16.67
25,21,26,917.3,16.67
26,19,103,569.7,16.67
27,18,103,1504.7,16.67
28,94,103,2929.0,16.67
29,18,93,1738.1,16.67
30,93,94,1979.5,16.67
31,94,95,1374.4,16.67
32,92,95,1112.1,16.67
33,92,102,618.0,16.67
34,92,94,907.7,16.67
35,57,93,2011.7,16.67
36,57,92,1609.3,16.67
37,12,102,1219.9,16.67
38,59,102,360.5,16.67
39,59,61,815.9,16.67
40,60,61,796.6,16.67
41,21,22,923.8,16.67
42,21,55,962.4,16.67
43,8,9,447.4,16.67
44,7,8,410.4,16.67
45,9,10,684.0,16.67
46,7,10,558.4,16.67
47,9,101,659.8,16.67
48,101,122,690.4,16.67
49,5,4,1305.2,16.67
50,6,47,510.2,16.67
51,58,63,1052.5,16.67
52,48,49,204.4,16.67
53,11,13,1786.4,16.67
54,47,56,709.7,16.67
55,49,55,1028.4,16.67
56,49,50,503.7,16.67
57,14,102,1625.4,16.67
58,14,57,675.9,16.67
59,14,58,407.2,16.67
60,62,63,733.9,16.67
61,61,62,593.8,16.67
62,58,89,1305.2,16.67
63,67,89,2043.9,16.67
64,89,107,1899.0,16.67
65,67,106,1353.5,16.67
66,106,107,1786.4,16.67
67,60,67,1025.1,16.67
68,59,63,581.0,16.67
69,15,59,1202.2,16.67
70,60,66,1583.6,16.67
71,67,68,1641.5,16.67
72,104,106,1601.3,16.67
73,104,105,777.3,16.67
74,68,135,595.5,16.67
75,66,68,878.7,16.67
76,61,64,1195.7,16.67
77,12,91,415.2,16.67
78,12,15,494.1,16.67
79,15,90,413.6,16.67
80,52,91,566.5,16.67
81,52,95,859.4,16.67
82,51,52,452.2,16.67
83,91,139,144.8,16.67
84,15,64,814.3,16.67
85,90,136,556.8,16.67
86,90,109,373.4,16.67
87,65,109,651.8,16.67
88,65,66,572.9,16.67
89,64,65,468.3,16.67
90,48,53,848.1,16.67
91,50,51,621.2,16.67
92,48,51,721.0,16.67
93,47,48,506.9,16.67
94,53,141,441.0,16.67
95,6,101,693.6,16.67
96,6,20,947.9,16.67
97,47,54,1168.4,16.67
98,54,120,217.3,16.67
99,20,54,217.3,16.67
100,20,115,318.6,16.67
101,100,115,201.2,16.67
102,67,107,1705.9,16.67
103,16,121,321.9,16.67
104,25,121,1499.9,16.67
105,66,111,815.9,16.67
