name,start,end,length,free_flow_speed
1,1,2,363.2,11.11
2,1,3,518.2,11.11
3,1,25,1512.8,11.11
4,1,544,1250.2,11.11
5,2,3,347.1,11.11
6,2,4,402.2,11.11
7,2,5,406.8,11.11
8,2,7,455.7,11.11
9,2,8,420.5,11.11
10,2,9,361.4,11.11
11,2,10,596.7,11.11
12,2,544,1179.7,11.11
13,3,4,671.0,11.11
14,3,19,784.4,11.11
15,3,632,958.6,11.11
16,4,5,86.2,11.11
17,4,6,200.9,11.11
18,4,18,170.3,11.11
19,4,19,146.2,11.11
20,5,6,140.6,11.11
21,5,7,106.6,11.11
22,5,9,114.5,11.11
23,5,18,174.2,11.11
24,6,7,100.6,11.11
25,6,10,153.2,11.11
26,6,11,85.4,11.11
27,6,17,94.9,11.11
28,6,18,136.2,11.11
29,7,8,100.5,11.11
30,7,9,96.8,11.11
31,7,10,157.7,11.11
32,8,9,86.1,11.11
33,10,11,125.6,11.11
34,10,12,63.9,11.11
35,10,14,174.1,11.11
36,10,544,618.3,11.11
37,11,12,107.0,11.11
38,11,13,80.7,11.11
39,11,16,121.6,11.11
40,11,17,103.4,11.11
41,12,13,100.9,11.11
42,12,14,113.0,11.11
43,13,14,114.7,11.11
44,13,15,159.5,11.11
45,13,16,109.8,11.11
46,14,15,168.4,11.11
47,14,544,500.5,11.11
48,15,16,167.7,11.11
49,15,20,913.9,11.11
50,15,24,275.4,11.11
51,15,544,577.1,11.11
52,15,630,258.8,11.11
53,15,631,241.4,11.11
54,15,632,340.5,11.11
55,16,17,103.2,11.11
56,16,631,103.6,11.11
57,17,18,79.2,11.11
58,17,631,126.0,11.11
59,18,19,94.0,11.11
60,18,631,139.1,11.11
61,18,632,181.2,11.11
62,19,632,181.3,11.11
63,20,21,353.6,11.11
64,20,22,241.6,11.11
65,20,23,395.9,11.11
66,20,24,663.9,11.11
67,20,234,610.0,11.11
68,20,546,1086.9,11.11
69,20,630,868.1,11.11
70,20,632,1024.4,11.11
71,21,22,142.4,11.11
72,21,23,400.1,11.11
73,21,24,321.8,11.11
74,22,23,290.7,11.11
75,23,24,538.1,11.11
76,23,27,791.4,11.11
77,23,234,598.0,11.11
78,23,544,808.6,11.11
79,24,544,565.0,11.11
