orig,dest,volume
1,2,10.0
1,3,10.0
1,4,50.0
1,5,20.0
1,6,30.0
1,7,50.0
1,8,80.0
1,9,50.0
1,10,130.0
1,11,50.0
1,12,20.0
1,13,50.0
1,14,30.0
1,15,50.0
1,16,50.0
1,17,40.0
1,18,10.0
1,19,30.0
1,20,30.0
1,21,10.0
1,22,40.0
1,23,30.0
1,24,10.0
2,1,10.0
2,3,10.0
2,4,20.0
2,5,10.0
2,6,40.0
2,7,20.0
2,8,40.0
2,9,20.0
2,10,60.0
2,11,20.0
2,12,10.0
2,13,30.0
2,14,10.0
2,15,10.0
2,16,40.0
2,17,20.0
2,19,10.0
2,20,10.0
2,22,10.0
3,1,10.0
3,2,10.0
3,4,20.0
3,5,10.0
3,6,30.0
3,7,10.0
3,8,20.0
3,9,10.0
3,10,30.0
3,11,30.0
3,12,20.0
3,13,10.0
3,14,10.0
3,15,10.0
3,16,20.0
3,17,10.0
3,22,10.0
3,23,10.0
4,1,50.0
4,2,20.0
4,3,20.0
4,5,50.0
4,6,40.0
4,7,40.0
4,8,70.0
4,9,70.0
4,10,120.0
4,11,140.0
4,12,60.0
4,13,60.0
4,14,50.0
4,15,50.0
4,16,80.0
4,17,50.0
4,18,10.0
4,19,20.0
4,20,30.0
4,21,20.0
4,22,40.0
4,23,50.0
4,24,20.0
5,1,20.0
5,2,10.0
5,3,10.0
5,4,50.0
5,6,20.0
5,7,20.0
5,8,50.0
5,9,80.0
5,10,100.0
5,11,50.0
5,12,20.0
5,13,20.0
5,14,10.0
5,15,20.0
5,16,50.0
5,17,20.0
5,19,10.0
5,20,10.0
5,21,10.0
5,22,20.0
5,23,10.0
6,1,30.0
6,2,40.0
6,3,30.0
6,4,40.0
6,5,20.0
6,7,40.0
6,8,80.0
6,9,40.0
6,10,80.0
6,11,40.0
6,12,20.0
6,13,20.0
6,14,10.0
6,15,20.0
6,16,90.0
6,17,50.0
6,18,10.0
6,19,20.0
6,20,30.0
6,21,10.0
6,22,20.0
6,23,10.0
6,24,10.0
7,1,50.0
7,2,20.0
7,3,10.0
7,4,40.0
7,5,20.0
7,6,40.0
7,8,100.0
7,9,60.0
7,10,190.0
7,11,50.0
7,12,70.0
7,13,40.0
7,14,20.0
7,15,50.0
7,16,140.0
7,17,100.0
7,18,20.0
7,19,40.0
7,20,50.0
7,21,20.0
7,22,50.0
7,23,20.0
7,24,10.0
8,1,80.0
8,2,40.0
8,3,20.0
8,4,70.0
8,5,50.0
8,6,80.0
8,7,100.0
8,9,80.0
8,10,160.0
8,11,80.0
8,12,60.0
8,13,60.0
8,14,40.0
8,15,60.0
8,16,220.0
8,17,140.0
8,18,30.0
8,19,70.0
8,20,90.0
8,21,40.0
8,22,50.0
8,23,30.0
8,24,20.0
9,1,50.0
9,2,20.0
9,3,10.0
9,4,70.0
9,5,80.0
9,6,40.0
9,7,60.0
9,8,80.0
9,10,280.0
9,11,140.0
9,12,60.0
9,13,60.0
9,14,60.0
9,15,90.0
9,16,140.0
9,17,90.0
9,18,20.0
9,19,40.0
9,20,60.0
9,21,30.0
9,22,70.0
9,23,50.0
9,24,20.0
10,1,130.0
10,2,60.0
10,3,30.0
10,4,120.0
10,5,100.0
10,6,80.0
10,7,190.0
10,8,160.0
10,9,280.0
10,11,400.0
10,12,200.0
10,13,190.0
10,14,210.0
10,15,400.0
10,16,440.0
10,17,390.0
10,18,70.0
10,19,180.0
10,20,250.0
10,21,120.0
10,22,260.0
10,23,180.0
10,24,80.0
11,1,50.0
11,2,20.0
11,3,30.0
11,4,150.0
11,5,50.0
11,6,40.0
11,7,50.0
11,8,80.0
11,9,140.0
11,10,390.0
11,12,140.0
11,13,100.0
11,14,160.0
11,15,140.0
11,16,140.0
11,17,100.0
11,18,10.0
11,19,40.0
11,20,60.0
11,21,40.0
11,22,110.0
11,23,130.0
11,24,60.0
12,1,20.0
12,2,10.0
12,3,20.0
12,4,60.0
12,5,20.0
12,6,20.0
12,7,70.0
12,8,60.0
12,9,60.0
12,10,200.0
12,11,140.0
12,13,130.0
12,14,70.0
12,15,70.0
12,16,70.0
12,17,60.0
12,18,20.0
12,19,30.0
12,20,40.0
12,21,30.0
12,22,70.0
12,23,70.0
12,24,50.0
13,1,50.0
13,2,30.0
13,3,10.0
13,4,60.0
13,5,20.0
13,6,20.0
13,7,40.0
13,8,60.0
13,9,60.0
13,10,190.0
13,11,100.0
13,12,130.0
13,14,60.0
13,15,70.0
13,16,60.0
13,17,50.0
13,18,10.0
13,19,30.0
13,20,60.0
13,21,60.0
13,22,130.0
13,23,80.0
13,24,80.0
14,1,30.0
14,2,10.0
14,3,10.0
14,4,50.0
14,5,10.0
14,6,10.0
14,7,20.0
14,8,40.0
14,9,60.0
14,10,210.0
14,11,160.0
14,12,70.0
14,13,60.0
14,15,130.0
14,16,70.0
14,17,70.0
14,18,10.0
14,19,30.0
14,20,50.0
14,21,40.0
14,22,120.0
14,23,110.0
14,24,40.0
15,1,50.0
15,2,10.0
15,3,10.0
15,4,50.0
15,5,20.0
15,6,20.0
15,7,50.0
15,8,60.0
15,9,100.0
15,10,400.0
15,11,140.0
15,12,70.0
15,13,70.0
15,14,130.0
15,16,120.0
15,17,150.0
15,18,20.0
15,19,80.0
15,20,110.0
15,21,80.0
15,22,260.0
15,23,100.0
15,24,40.0
16,1,50.0
16,2,40.0
16,3,20.0
16,4,80.0
16,5,50.0
16,6,90.0
16,7,140.0
16,8,220.0
16,9,140.0
16,10,440.0
16,11,140.0
16,12,70.0
16,13,60.0
16,14,70.0
16,15,120.0
16,17,280.0
16,18,50.0
16,19,130.0
16,20,160.0
16,21,60.0
16,22,120.0
16,23,50.0
16,24,30.0
17,1,40.0
17,2,20.0
17,3,10.0
17,4,50.0
17,5,20.0
17,6,50.0
17,7,100.0
17,8,140.0
17,9,90.0
17,10,390.0
17,11,100.0
17,12,60.0
17,13,50.0
17,14,70.0
17,15,150.0
17,16,280.0
17,18,60.0
17,19,170.0
17,20,170.0
17,21,60.0
17,22,170.0
17,23,60.0
17,24,30.0
18,1,10.0
18,4,10.0
18,6,10.0
18,7,20.0
18,8,30.0
18,9,20.0
18,10,70.0
18,11,20.0
18,12,20.0
18,13,10.0
18,14,10.0
18,15,20.0
18,16,50.0
18,17,60.0
18,19,30.0
18,20,40.0
18,21,10.0
18,22,30.0
18,23,10.0
19,1,30.0
19,2,10.0
19,4,20.0
19,5,10.0
19,6,20.0
19,7,40.0
19,8,70.0
19,9,40.0
19,10,180.0
19,11,40.0
19,12,30.0
19,13,30.0
19,14,30.0
19,15,80.0
19,16,130.0
19,17,170.0
19,18,30.0
19,20,120.0
19,21,40.0
19,22,120.0
19,23,30.0
19,24,10.0
20,1,30.0
20,2,10.0
20,4,30.0
20,5,10.0
20,6,30.0
20,7,50.0
20,8,90.0
20,9,60.0
20,10,250.0
20,11,60.0
20,12,50.0
20,13,60.0
20,14,50.0
20,15,110.0
20,16,160.0
20,17,170.0
20,18,40.0
20,19,120.0
20,21,120.0
20,22,240.0
20,23,70.0
20,24,40.0
21,1,10.0
21,4,20.0
21,5,10.0
21,6,10.0
21,7,20.0
21,8,40.0
21,9,30.0
21,10,120.0
21,11,40.0
21,12,30.0
21,13,60.0
21,14,40.0
21,15,80.0
21,16,60.0
21,17,60.0
21,18,10.0
21,19,40.0
21,20,120.0
21,22,180.0
21,23,70.0
21,24,50.0
22,1,40.0
22,2,10.0
22,3,10.0
22,4,40.0
22,5,20.0
22,6,20.0
22,7,50.0
22,8,50.0
22,9,70.0
22,10,260.0
22,11,110.0
22,12,70.0
22,13,130.0
22,14,120.0
22,15,260.0
22,16,120.0
22,17,170.0
22,18,30.0
22,19,120.0
22,20,240.0
22,21,180.0
22,23,210.0
22,24,110.0
23,1,30.0
23,3,10.0
23,4,50.0
23,5,10.0
23,6,10.0
23,7,20.0
23,8,30.0
23,9,50.0
23,10,180.0
23,11,130.0
23,12,70.0
23,13,80.0
23,14,110.0
23,15,100.0
23,16,50.0
23,17,60.0
23,18,10.0
23,19,30.0
23,20,70.0
23,21,70.0
23,22,210.0
23,24,70.0
24,1,10.0
24,4,20.0
24,6,10.0
24,7,10.0
24,8,20.0
24,9,20.0
24,10,80.0
24,11,60.0
24,12,50.0
24,13,70.0
24,14,40.0
24,15,40.0
24,16,30.0
24,17,30.0
24,19,10.0
24,20,40.0
24,21,50.0
24,22,110.0
24,23,70.0
