name,start,end,length,free_flow_speed
1-2,1,2,4844.918327803477,13.45810646612077
1-3,1,3,4440.387587899651,18.50161494958188
2-1,2,1,4844.918327803477,13.45810646612077
2-6,2,6,2025.3798900105567,6.751266300035189
3-1,3,1,4440.387587899651,18.50161494958188
3-4,3,4,2424.5549240092705,10.10231218337196
3-12,3,12,3258.6062097203826,13.577525873834928
4-3,4,3,2424.5549240092705,10.10231218337196
4-5,4,5,1261.385054831705,10.511542123597541
4-11,4,11,2169.225471107502,6.02562630863195
5-4,5,4,1261.385054831705,10.511542123597541
5-6,5,6,3072.4779206903695,12.801991336209873
5-9,5,9,1715.3322456515848,5.717774152171949
6-2,6,2,2025.3798900105567,6.751266300035189
6-5,6,5,3072.4779206903695,12.801991336209873
6-8,6,8,2806.743588663652,23.389529905530434
7-8,7,8,1461.158580294269,8.117547668301494
7-18,7,18,1900.604236959999,15.838368641333325
8-6,8,6,2806.743588663652,23.389529905530434
8-7,8,7,1461.158580294269,8.117547668301494
8-9,8,9,2214.067345791117,3.690112242985195
8-16,8,16,1731.009988170189,5.77003329390063
9-5,9,5,1715.3322456515848,5.717774152171949
9-8,9,8,2214.067345791117,3.690112242985195
9-10,9,10,369.811312745325,2.0545072930295833
10-9,10,9,369.811312745325,2.0545072930295833
10-11,10,11,1251.216215933191,4.170720719777304
10-15,10,15,1763.1856930816264,4.897738036337851
10-16,10,16,1629.1107610186223,6.78796150424426
10-17,10,17,1680.4235859713112,3.5008824707735653
11-4,11,4,2169.225471107502,6.02562630863195
11-10,11,10,1251.216215933191,4.170720719777304
11-12,11,12,2690.9427799143,7.4748410553174995
11-14,11,14,1681.5830939931625,7.006596224971511
12-3,12,3,3258.6062097203826,13.577525873834928
12-11,12,11,2690.9427799143,7.4748410553174995
12-13,12,13,6010.423523670338,33.391241798168544
13-12,13,12,6010.423523670338,33.391241798168544
13-24,13,24,3829.0364177264714,15.95431840719363
14-11,14,11,1681.5830939931625,7.006596224971511
14-15,14,15,1578.5313727309078,5.261771242436359
14-23,14,23,1605.250411319072,6.688543380496133
15-10,15,10,1763.1856930816264,4.897738036337851
15-14,15,14,1578.5313727309078,5.261771242436359
15-19,15,19,1631.60286675713,9.064460370872943
15-22,15,22,1615.9136384813587,8.977297991563104
16-8,16,8,1731.009988170189,5.77003329390063
16-10,16,10,1629.1107610186223,6.78796150424426
16-17,16,17,607.0153034538737,5.058460862115614
16-18,16,18,1398.3988970671217,7.768882761484009
17-10,17,10,1680.4235859713112,3.5008824707735653
17-16,17,16,607.0153034538737,5.058460862115614
17-19,17,19,1298.6799303595183,10.822332752995985
18-7,18,7,1900.604236959999,15.838368641333325
18-16,18,16,1398.3988970671217,7.768882761484009
18-20,18,20,3753.6394816988322,15.640164507078469
19-15,19,15,1631.60286675713,9.064460370872943
19-17,19,17,1298.6799303595183,10.822332752995985
19-20,19,20,1584.119028321693,6.600495951340387
20-18,20,18,3753.6394816988322,15.640164507078469
20-19,20,19,1584.119028321693,6.600495951340387
20-21,20,21,1687.945653782852,4.688737927174589
20-22,20,22,1621.7320672401115,5.405773557467039
21-20,21,20,1687.945653782852,4.688737927174589
21-22,21,22,486.3266454577911,4.052722045481592
21-24,21,24,1682.260708697396,9.345892826096645
22-15,22,15,1615.9136384813587,8.977297991563104
22-20,22,20,1621.7320672401115,5.405773557467039
22-21,22,21,486.3266454577911,4.052722045481592
22-23,22,23,1589.0910516736658,6.621212715306941
23-14,23,14,1605.250411319072,6.688543380496133
23-22,23,22,1589.0910516736658,6.621212715306941
23-24,23,24,1306.5169177541839,10.887640981284866
24-13,24,13,3829.0364177264714,15.95431840719363
24-21,24,21,1682.260708697396,9.345892826096645
24-23,24,23,1306.5169177541839,10.887640981284866
